"","Interval","Step Type","Lap","Time","Cumulative Time","Distance","Avg Pace","Avg HR","Max HR","Total Ascent","Total Descent","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace","Avg Running Power"
"","","Warm Up","1","2:00","2:00","0.28","7:12","113","127","0","17","160","266","47.5% L / 52.5% R","0.89","10.7","12.2","15","30.0","6:06","164","2:00","7:12","262"
"","1","Run","2 - 8","45:32","1:32:25","6.44","7:04","130","140","11","8","165","257","46.8% L / 53.2% R","0.84","10.4","12.3","387","25.0","5:40","170","45:20","7:03","278"
"","","Cool Down","9","2:00","2:22:05","0.29","7:01","133","135","0","0","164","255","46.6% L / 53.4% R","0.80","10.6","13.1","15","23.0","7:05","167","1:59","6:57","266"
"","2","Run","10 - 16","43:02","3:05:08","6.39","6:44","138","153","9","13","164","256","46.5% L / 53.5% R","0.90","10.7","11.7","395","27.7","5:30","170","43:00","6:44","244"
"","Summary","--","--","1:32:34","1:32:34","13.39","6:55","133","153","22","37","164","257","46.7% L / 53.3% R","0.87","10.6","12.1","812","26.3","5:30","170","1:32:19","6:54","--"
